tar_name,ori_name,mp_pos,wb_pos,op_pos,origin,tarjet
pose_nose,pose_nose,1,1,1,1,1
pose_left_eye,pose_nose,3,2,17,1,2
pose_right_eye,pose_nose,6,3,16,1,3
pose_left_shoulder,pose_nose,12,6,6,1,4
pose_right_shoulder,pose_nose,13,7,3,1,5
pose_left_elbow,pose_left_shoulder,14,8,7,4,6
pose_right_elbow,pose_right_shoulder,15,9,4,5,7
pose_left_wrist,pose_left_elbow,16,10,8,6,8
pose_right_wrist,pose_right_elbow,17,11,5,7,9
leftHand_thumb_mcp,pose_left_wrist,504,94,98,8,10
leftHand_thumb_tip,leftHand_thumb_mcp,506,96,100,10,11
leftHand_index_finger_mcp,pose_left_wrist,507,97,101,8,12
leftHand_index_finger_tip,leftHand_index_finger_mcp,510,100,104,12,13
leftHand_middle_finger_mcp,pose_left_wrist,511,101,105,8,14
leftHand_middle_finger_tip,leftHand_middle_finger_mcp,514,104,108,14,15
leftHand_ring_finger_mcp,pose_left_wrist,515,105,109,8,16
leftHand_ring_finger_tip,leftHand_ring_finger_mcp,518,108,112,16,17
leftHand_pinky_mcp,pose_left_wrist,519,109,113,8,18
leftHand_pinky_tip,leftHand_pinky_mcp,522,112,116,18,19
rightHand_thumb_mcp,pose_right_wrist,525,115,119,9,20
rightHand_thumb_tip,rightHand_thumb_mcp,527,117,121,20,21
rightHand_index_finger_mcp,pose_right_wrist,528,118,122,9,22
rightHand_index_finger_tip,rightHand_index_finger_mcp,531,121,125,22,23
rightHand_middle_finger_mcp,pose_right_wrist,532,122,126,9,24
rightHand_middle_finger_tip,rightHand_middle_finger_mcp,535,125,129,24,25
rightHand_ring_finger_mcp,pose_right_wrist,536,126,130,9,26
rightHand_ring_finger_tip,rightHand_ring_finger_mcp,539,129,133,26,27
rightHand_pinky_mcp,pose_right_wrist,540,130,134,9,28
rightHand_pinky_tip,rightHand_pinky_mcp,543,133,137,28,29
