tar_name,ori_name,mp_pos,wb_pos,op_pos,origin,tarjet
pose_nose,pose_nose,1,1,1,1,1
pose_left_eye,pose_nose,3,2,17,1,2
pose_right_eye,pose_nose,6,3,16,1,3
pose_left_shoulder,pose_nose,12,6,6,1,4
pose_right_shoulder,pose_nose,13,7,3,1,5
pose_left_elbow,pose_left_shoulder,14,8,7,4,6
pose_right_elbow,pose_right_shoulder,15,9,4,5,7
pose_left_wrist,pose_left_elbow,16,10,8,6,8
pose_right_wrist,pose_right_elbow,17,11,5,7,9
face_right_mouth_up,pose_nose,71,74,76,1,10
face_right_eyebrow_inner,pose_nose,89,45,47,1,11
face_right_mouth_corner,face_right_mouth_up,91,72,74,10,12
face_right_eyebrow_outer,face_right_eyebrow_middle,104,41,43,15,13
face_right_mouth_down,face_right_mouth_corner,118,80,82,12,14
face_right_eyebrow_middle,face_right_eyebrow_inner,139,43,45,11,15
face_left_mouth_up,pose_nose,301,76,78,1,16
face_left_eyebrow_inner,pose_nose,319,46,48,1,17
face_left_mouth_corner,face_left_mouth_up,321,78,80,16,18
face_left_eyebrow_outer,face_left_eyebrow_middle,334,50,52,21,19
face_left_mouth_down,face_left_mouth_corner,348,82,84,18,20
face_left_eyebrow_middle,face_left_eyebrow_inner,368,48,50,17,21
leftHand_thumb_cmc,pose_left_wrist,503,93,97,8,22
leftHand_thumb_mcp,leftHand_thumb_cmc,504,94,98,22,23
leftHand_thumb_tip,leftHand_thumb_ip,506,96,100,23,24
leftHand_index_finger_mcp,pose_left_wrist,507,97,101,8,25
leftHand_index_finger_pip,leftHand_index_finger_mcp,508,98,102,25,26
leftHand_index_finger_tip,leftHand_index_finger_dip,510,100,104,26,27
leftHand_middle_finger_mcp,pose_left_wrist,511,101,105,8,28
leftHand_middle_finger_pip,leftHand_middle_finger_mcp,512,102,106,28,29
leftHand_middle_finger_tip,leftHand_middle_finger_dip,514,104,108,29,30
leftHand_ring_finger_mcp,pose_left_wrist,515,105,109,8,31
leftHand_ring_finger_pip,leftHand_ring_finger_mcp,516,106,110,31,32
leftHand_ring_finger_tip,leftHand_ring_finger_dip,518,108,112,32,33
leftHand_pinky_mcp,pose_left_wrist,519,109,113,8,34
leftHand_pinky_pip,leftHand_pinky_mcp,520,110,114,34,35
leftHand_pinky_tip,leftHand_pinky_dip,522,112,116,35,36
rightHand_thumb_cmc,pose_right_wrist,524,114,118,9,37
rightHand_thumb_mcp,rightHand_thumb_cmc,525,115,119,37,38
rightHand_thumb_tip,rightHand_thumb_ip,527,117,121,38,39
rightHand_index_finger_mcp,pose_right_wrist,528,118,122,9,40
rightHand_index_finger_pip,rightHand_index_finger_mcp,529,119,123,40,41
rightHand_index_finger_tip,rightHand_index_finger_dip,531,121,125,41,42
rightHand_middle_finger_mcp,pose_right_wrist,532,122,126,9,43
rightHand_middle_finger_pip,rightHand_middle_finger_mcp,533,123,127,43,44
rightHand_middle_finger_tip,rightHand_middle_finger_dip,535,125,129,44,45
rightHand_ring_finger_mcp,pose_right_wrist,536,126,130,9,46
rightHand_ring_finger_pip,rightHand_ring_finger_mcp,537,127,131,46,47
rightHand_ring_finger_tip,rightHand_ring_finger_dip,539,129,133,47,48
rightHand_pinky_mcp,pose_right_wrist,540,130,134,9,49
rightHand_pinky_pip,rightHand_pinky_mcp,541,131,135,49,50
rightHand_pinky_tip,rightHand_pinky_dip,543,133,137,50,51
